number,species,type_primary,type_secondary,name_1,name_2,family,family_order,hp,attack,defense,sp_attack,sp_defense,speed
214,Heracross,Bug,Fighting,Hera,cross,214,1,80,125,75,40,95,85
215,Sneasel,Dark,Ice,Snea,sel,215,1,55,95,55,35,75,115
216,Teddiursa,Normal,,Teddi,ursa,216,1,60,80,50,50,50,40
217,Ursaring,Normal,,Ursa,ring,216,2,90,130,75,75,75,55
218,Slugma,Fire,,Slug,gma,218,1,40,40,40,70,40,20
219,Magcargo,Fire,Rock,Mag,cargo,218,2,60,50,120,90,80,30
220,Swinub,Ice,Ground,Swi,nub,220,1,50,50,40,30,30,50
221,Piloswine,Ice,Ground,Pilo,swine,220,2,100,100,80,60,60,50
222,Corsola,Water,Rock,Cor,sola,222,1,65,55,95,65,95,35
223,Remoraid,Water,,Remo,raid,223,1,35,65,35,65,35,65
224,Octillery,Water,,Octi,llery,223,2,75,105,75,105,75,45
225,Delibird,Ice,Flying,Deli,bird,225,1,45,55,45,65,45,75
226,Mantine,Water,Flying,Man,tine,261,2,85,40,70,80,140,70
227,Skarmory,Steel,Flying,Skar,mory,227,1,65,80,140,40,70,70
228,Houndour,Dark,Fire,Houn,dour,228,1,45,60,30,80,50,65
229,Houndoom,Dark,Fire,Houn,doom,228,2,75,90,50,110,80,95
230,Kingdra,Water,Dragon,King,dra,116,3,75,95,95,95,95,85
231,Phanpy,Ground,,Phan,py,231,1,90,60,60,40,40,40
232,Donphan,Ground,,Don,phan,231,2,90,120,120,60,60,50
233,Porygon2,Normal,,Pory,gon2,137,2,85,80,90,105,95,60
234,Stantler,Normal,,Stan,tler,234,1,73,95,62,85,65,85
235,Smeargle,Normal,,Smear,gle,235,1,55,20,35,20,45,75
236,Tyrogue,Fighting,,Ty,rogue,236,1,35,35,35,35,35,35
237,Hitmontop,Fighting,,Hitmon,top,236,4,50,95,95,35,110,70
238,Smoochum,Ice,Psychic,Smoo,chum,238,1,45,30,15,85,65,65
239,Elekid,Electric,,Ele,kid,239,1,45,63,37,65,55,95
240,Magby,Fire,,Mag,by,240,1,45,75,37,70,55,83
241,Miltank,Normal,,Mil,tank,241,1,95,80,105,40,70,100
242,Blissey,Normal,,Blis,sey,259,3,255,10,10,75,135,55
243,Raikou,Electric,,Rai,kou,243,1,90,85,75,115,100,115
244,Entei,Fire,,En,tei,244,1,115,115,85,90,75,100
245,Suicune,Water,,Sui,cune,245,1,100,75,115,90,115,85
246,Larvitar,Rock,Ground,Larvi,tar,246,1,50,64,50,45,50,41
247,Pupitar,Rock,Ground,Pupi,tar,246,2,70,84,70,65,70,51
248,Tyranitar,Rock,Dark,Tyran,itar,246,3,100,134,110,95,100,61
249,Lugia,Psychic,Flying,Lu,gia,249,1,106,90,130,90,154,110
250,Ho-Oh,Fire,Flying,Ho,oh,250,1,106,130,90,110,154,90
251,Celebi,Psychic,Grass,Cele,bi,251,1,100,100,100,100,100,100
252,Azurill,Normal,Fairy,Azu,rill,252,1,50,20,40,20,40,20
253,Wynaut,Psychic,,Wy,naut,253,1,95,23,48,23,48,23
254,Ambipom,Normal,,Ambi,pom,190,2,75,100,66,60,66,115
255,Mismagius,Ghost,,Misma,gius,200,2,60,60,60,105,105,105
256,Honchkrow,Dark,Flying,Honch,krow,198,2,100,125,52,105,52,71
257,Bonsly,Rock,,Bon,sly,257,1,50,80,95,10,45,10
258,Mime Jr.,Psychic,Fairy,Mime, Jr.,258,1,20,25,45,70,90,60
259,Happiny,Normal,,Hap,piny,259,1,100,5,5,15,65,30
260,Munchlax,Normal,,Munch,lax,260,1,135,85,40,40,85,5
261,Mantyke,Water,Flying,Man,tyke,261,1,45,20,50,60,120,50
262,Weavile,Dark,Ice,Wea,vile,215,2,70,120,65,45,85,125
263,Magnezone,Steel,Electric,Magne,zone,81,3,70,70,115,130,90,60
264,Lickilicky,Normal,,Licki,licky,108,2,110,85,95,80,95,50
265,Rhyperior,Ground,Rock,Rhype,rior,111,3,115,140,130,55,55,40
266,Tangrowth,Grass,,Tan,growth,114,2,100,100,125,110,50,50
267,Electivire,Electric,,Electi,vire,239,3,75,123,67,95,85,95
268,Magmortar,Fire,,Mag,mortar,240,3,75,95,67,125,95,83
269,Togekiss,Fairy,Flying,Toge,kiss,175,3,85,50,95,120,115,80
270,Yanmega,Bug,Flying,Yan,mega,193,2,86,76,86,116,56,95
271,Leafeon,Grass,,Leaf,feon,133,7,65,110,130,60,65,95
272,Glaceon,Ice,,Gla,ceon,133,8,65,60,110,130,95,65
273,Gliscor,Ground,Flying,Glis,cor,207,2,75,95,125,45,75,95
274,Mamoswine,Ice,Ground,Mam,swine,220,3,110,130,80,70,60,80
275,Porygon-Z,Normal,,Pory,gon-z,137,3,85,80,70,135,75,90
276,Treecko,Grass,,Tree,cko,276,1,40,45,35,65,55,70
277,Grovyle,Grass,,Gro,vyle,276,2,50,65,45,85,65,95
278,Sceptile,Grass,,Scep,tile,276,3,70,85,65,105,85,120
279,Torchic,Fire,,Tor,chic,279,1,45,60,40,70,50,45
280,Combusken,Fire,Fighting,Com,busken,279,2,60,85,60,85,60,55
281,Blaziken,Fire,Fighting,Blaz,iken,279,3,80,120,70,110,70,80
282,Mudkip,Water,,Mud,kip,282,1,50,70,50,50,50,40
283,Marshtomp,Water,Ground,Marsh,tomp,282,2,70,85,70,60,70,50
284,Swampert,Water,Ground,Swam,pert,282,3,100,110,90,85,90,60
285,Ralts,Psychic,Fairy,Ral,ts,285,1,28,25,25,45,35,40
286,Kirlia,Psychic,Fairy,Kir,lia,285,2,38,35,35,65,55,50
287,Gardevoir,Psychic,Fairy,Garde,voir,285,3,68,65,65,125,115,80
288,Gallade,Psychic,Fighting,Gal,lade,285,4,68,125,65,65,115,80
289,Shedinja,Bug,Ghost,Shed,inja,382,3,1,90,45,30,30,40
290,Kecleon,Normal,,Kec,leon,290,1,60,90,70,60,120,40
291,Beldum,Steel,Psychic,Bel,dum,291,1,40,55,80,35,60,30
292,Metang,Steel,Psychic,Met,tang,291,2,60,75,100,55,80,50
293,Metagross,Steel,Psychic,Meta,gross,291,3,80,135,130,95,90,70
294,Bidoof,Normal,,Bi,doof,294,1,59,45,40,35,40,31
295,Spiritomb,Dark,Ghost,Spiri,tomb,295,1,50,92,108,92,108,35
296,Lucario,Fighting,Steel,Luca,ario,384,2,70,110,70,115,70,90
297,Gible,Dragon,Ground,Gi,ble,297,1,58,70,45,40,45,42
298,Gabite,Dragon,Ground,Ga,bite,297,2,68,90,65,50,55,82
299,Garchomp,Dragon,Ground,Gar,chomp,297,3,108,130,95,80,85,102
300,Mawile,Steel,Fairy,Ma,wile,300,1,50,85,85,55,55,50
301,Lileep,Rock,Grass,Li,leep,301,1,66,41,77,61,87,23
302,Cradily,Rock,Grass,Cra,dily,301,2,86,81,97,81,107,43
303,Anorith,Rock,Bug,Ano,rith,303,1,45,95,50,40,50,75
304,Armaldo,Rock,Bug,Arma,ldo,303,2,75,125,100,70,80,45
305,Cranidos,Rock,,Crani,dos,305,1,67,125,40,30,30,58
306,Rampardos,Rock,,Rampa,ardos,305,2,97,165,60,65,50,58
307,Shieldon,Rock,Steel,Shiel,don,307,1,30,42,118,42,88,30
308,Bastiodon,Rock,Steel,Basti,odon,307,2,60,52,168,47,138,30
309,Slaking,Normal,,Sla,king,385,3,150,160,100,95,65,100
310,Absol,Dark,,Ab,sol,310,1,65,130,60,75,60,75
311,Duskull,Ghost,,Du,skull,311,1,20,40,90,30,90,25
312,Dusclops,Ghost,,Dus,clops,311,2,40,70,130,60,130,25
313,Dusknoir,Ghost,,Dusk,noir,311,3,45,100,135,65,135,45
314,Wailord,Water,,Wai,lord,387,2,170,90,45,90,45,60
315,Arceus,Normal,,Ar,ceus,315,1,120,120,120,120,120,120
316,Turtwig,Grass,,Tur,twig,316,1,55,68,64,45,55,31
317,Grotle,Grass,,Gro,tle,316,2,75,89,85,55,65,36
318,Torterra,Grass,Ground,Tor,terra,316,3,95,109,105,75,85,56
319,Chimchar,Fire,,Chim,char,319,1,44,58,44,58,44,61
320,Monferno,Fire,Fighting,Mon,ferno,319,2,64,78,52,78,52,81
321,Infernape,Fire,Fighting,Infer,nape,319,3,76,104,71,104,71,108
322,Piplup,Water,,Pip,lup,322,1,53,51,53,61,56,40
323,Prinplup,Water,,Prin,plup,322,2,64,66,68,81,76,50
324,Empoleon,Water,Steel,Empo,leon,322,3,84,86,88,111,101,60
325,Nosepass,Rock,,Nose,pass,324,1,30,45,135,45,90,30
326,Probopass,Rock,Steel,Probo,pass,325,2,60,55,145,75,150,40
327,Honedge,Steel,Ghost,Hon,edge,327,1,45,80,100,35,37,28
328,Doublade,Steel,Ghost,Dou,blade,327,2,59,110,150,45,49,35
329,Aegislash,Steel,Ghost,Aegi,slash,327,3,60,50,150,50,150,60
330,Pawniard,Dark,Steel,Pawn,iard,330,1,45,85,70,40,40,60
331,Bisharp,Dark,Steel,Bi,sharp,330,2,65,125,100,60,70,70
332,Luxray,Electric,,Lux,ray,388,3,80,120,79,95,79,70
333,Aggron,Steel,Rock,Ag,gron,390,3,70,110,180,60,60,50
334,Flygon,Ground,Dragon,Fly,gon,392,3,80,100,80,80,80,100
335,Milotic,Water,,Milo,tic,394,2,95,60,79,100,125,81
336,Salamence,Dragon,Flying,Sala,mence,395,3,95,135,80,110,80,100
337,Klinklang,Steel,,Klink,klang,397,3,60,100,115,70,85,90
338,Zoroark,Dark,,Zo,roark,399,2,60,105,60,120,60,105
339,Sylveon,Fairy,,Sylv,eon,133,9,95,65,65,110,130,60
340,Kyogre,Water,,Kyo,gre,340,1,100,100,90,150,140,90
341,Groudon,Ground,,Grou,don,341,1,100,150,140,100,90,90
342,Rayquaza,Dragon,Flying,Ray,quaza,342,1,105,150,90,150,90,95
343,Dialga,Steel,Dragon,Dial,ga,343,1,100,120,120,150,100,90
344,Palkia,Water,Dragon,Pal,kia,344,1,90,120,100,150,120,100
345,Giratina,Ghost,Dragon,Gira,tina,345,1,150,100,120,100,120,90
346,Regigigas,Normal,,Regi,gigas,346,1,110,160,110,80,110,100
347,Darkrai,Dark,,Dark,rai,347,1,70,90,90,135,90,125
348,Genesect,Bug,Steel,Gene,sect,348,1,71,120,95,120,95,99
349,Reshiram,Dragon,Fire,Reshi,ram,349,1,100,120,100,150,120,90
350,Zekrom,Dragon,Electric,Zek,rom,350,1,100,150,120,120,100,90
351,Kyurem,Dragon,Ice,Kyu,rem,351,1,125,130,90,130,90,95
352,Roserade,Grass,Poison,Rose,rade,400,3,60,70,65,125,105,90
353,Drifblim,Ghost,Flying,Drif,blim,402,2,150,80,44,90,54,80
354,Lopunny,Normal,,Lop,unny,403,2,65,76,84,54,96,105
355,Breloom,Grass,Fighting,Bre,loom,404,2,60,130,80,60,60,70
356,Ninjask,Bug,Flying,Nin,jask,382,2,61,90,45,50,50,160
357,Banette,Ghost,,Ban,ette,405,2,64,115,65,83,63,65
358,Rotom,Electric,Ghost,Ro,tom,358,1,50,50,77,95,77,91
359,Reuniclus,Psychic,,Reu,niclus,406,3,110,65,75,125,85,30
360,Whimsicott,Grass,Fairy,Whimsi,cott,408,2,60,67,85,77,75,116
361,Krookodile,Ground,Dark,Krook,odile,409,3,95,117,80,65,70,92
362,Cofagrigus,Ghost,,Cofa,grigus,411,2,58,50,145,95,105,30
363,Galvantula,Bug,Electric,Galvan,tula,412,2,70,77,60,97,60,108
364,Ferrothorn,Steel,Grass,Ferro,thorn,413,2,74,94,131,54,116,20
365,Litwick,Ghost,Fire,Lit,wick,365,1,50,30,55,65,55,20
366,Lampent,Ghost,Fire,Lamp,ent,365,2,60,40,60,95,60,55
367,Chandelure,Ghost,Fire,Chande,lure,365,3,60,55,90,145,90,80
368,Haxorus,Dragon,,Hax,orus,414,3,76,147,90,60,70,97
369,Golurk,Ground,Ghost,Go,lurk,416,2,89,124,80,55,80,55
370,Pyukumuku,Water,,Pyuku,muku,370,1,55,60,130,30,130,5
